sutou.taki.0a@kyoto-u.ac.jp sutou.taki.1a@kyoto-u.ac.jp sutou.taki.2a@kyoto-u.ac.jp sutou.taki.3a@kyoto-u.ac.jp sutou.taki.4a@kyoto-u.ac.jp sutou.taki.5a@kyoto-u.ac.jp sutou.taki.6a@kyoto-u.ac.jp sutou.taki.7a@kyoto-u.ac.jp sutou.taki.8a@kyoto-u.ac.jp sutou.taki.9a@kyoto-u.ac.jp 
sutou.taki.0b@kyoto-u.ac.jp sutou.taki.1b@kyoto-u.ac.jp sutou.taki.2b@kyoto-u.ac.jp sutou.taki.3b@kyoto-u.ac.jp sutou.taki.4b@kyoto-u.ac.jp sutou.taki.5b@kyoto-u.ac.jp sutou.taki.6b@kyoto-u.ac.jp sutou.taki.7b@kyoto-u.ac.jp sutou.taki.8b@kyoto-u.ac.jp sutou.taki.9b@kyoto-u.ac.jp 
sutou.taki.0c@kyoto-u.ac.jp sutou.taki.1c@kyoto-u.ac.jp sutou.taki.2c@kyoto-u.ac.jp sutou.taki.3c@kyoto-u.ac.jp sutou.taki.4c@kyoto-u.ac.jp sutou.taki.5c@kyoto-u.ac.jp sutou.taki.6c@kyoto-u.ac.jp sutou.taki.7c@kyoto-u.ac.jp sutou.taki.8c@kyoto-u.ac.jp sutou.taki.9c@kyoto-u.ac.jp 
sutou.taki.0d@kyoto-u.ac.jp sutou.taki.1d@kyoto-u.ac.jp sutou.taki.2d@kyoto-u.ac.jp sutou.taki.3d@kyoto-u.ac.jp sutou.taki.4d@kyoto-u.ac.jp sutou.taki.5d@kyoto-u.ac.jp sutou.taki.6d@kyoto-u.ac.jp sutou.taki.7d@kyoto-u.ac.jp sutou.taki.8d@kyoto-u.ac.jp sutou.taki.9d@kyoto-u.ac.jp 
sutou.taki.0e@kyoto-u.ac.jp sutou.taki.1e@kyoto-u.ac.jp sutou.taki.2e@kyoto-u.ac.jp sutou.taki.3e@kyoto-u.ac.jp sutou.taki.4e@kyoto-u.ac.jp sutou.taki.5e@kyoto-u.ac.jp sutou.taki.6e@kyoto-u.ac.jp sutou.taki.7e@kyoto-u.ac.jp sutou.taki.8e@kyoto-u.ac.jp sutou.taki.9e@kyoto-u.ac.jp 
sutou.taki.0f@kyoto-u.ac.jp sutou.taki.1f@kyoto-u.ac.jp sutou.taki.2f@kyoto-u.ac.jp sutou.taki.3f@kyoto-u.ac.jp sutou.taki.4f@kyoto-u.ac.jp sutou.taki.5f@kyoto-u.ac.jp sutou.taki.6f@kyoto-u.ac.jp sutou.taki.7f@kyoto-u.ac.jp sutou.taki.8f@kyoto-u.ac.jp sutou.taki.9f@kyoto-u.ac.jp 
sutou.taki.0g@kyoto-u.ac.jp sutou.taki.1g@kyoto-u.ac.jp sutou.taki.2g@kyoto-u.ac.jp sutou.taki.3g@kyoto-u.ac.jp sutou.taki.4g@kyoto-u.ac.jp sutou.taki.5g@kyoto-u.ac.jp sutou.taki.6g@kyoto-u.ac.jp sutou.taki.7g@kyoto-u.ac.jp sutou.taki.8g@kyoto-u.ac.jp sutou.taki.9g@kyoto-u.ac.jp 
sutou.taki.0h@kyoto-u.ac.jp sutou.taki.1h@kyoto-u.ac.jp sutou.taki.2h@kyoto-u.ac.jp sutou.taki.3h@kyoto-u.ac.jp sutou.taki.4h@kyoto-u.ac.jp sutou.taki.5h@kyoto-u.ac.jp sutou.taki.6h@kyoto-u.ac.jp sutou.taki.7h@kyoto-u.ac.jp sutou.taki.8h@kyoto-u.ac.jp sutou.taki.9h@kyoto-u.ac.jp 
sutou.taki.0i@kyoto-u.ac.jp sutou.taki.1i@kyoto-u.ac.jp sutou.taki.2i@kyoto-u.ac.jp sutou.taki.3i@kyoto-u.ac.jp sutou.taki.4i@kyoto-u.ac.jp sutou.taki.5i@kyoto-u.ac.jp sutou.taki.6i@kyoto-u.ac.jp sutou.taki.7i@kyoto-u.ac.jp sutou.taki.8i@kyoto-u.ac.jp sutou.taki.9i@kyoto-u.ac.jp 
sutou.taki.0j@kyoto-u.ac.jp sutou.taki.1j@kyoto-u.ac.jp sutou.taki.2j@kyoto-u.ac.jp sutou.taki.3j@kyoto-u.ac.jp sutou.taki.4j@kyoto-u.ac.jp sutou.taki.5j@kyoto-u.ac.jp sutou.taki.6j@kyoto-u.ac.jp sutou.taki.7j@kyoto-u.ac.jp sutou.taki.8j@kyoto-u.ac.jp sutou.taki.9j@kyoto-u.ac.jp 
sutou.taki.0k@kyoto-u.ac.jp sutou.taki.1k@kyoto-u.ac.jp sutou.taki.2k@kyoto-u.ac.jp sutou.taki.3k@kyoto-u.ac.jp sutou.taki.4k@kyoto-u.ac.jp sutou.taki.5k@kyoto-u.ac.jp sutou.taki.6k@kyoto-u.ac.jp sutou.taki.7k@kyoto-u.ac.jp sutou.taki.8k@kyoto-u.ac.jp sutou.taki.9k@kyoto-u.ac.jp 
